scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,41,1,point_to_plane,0.1511392926908084,5.158888888532457,0.1358636893551929,0.13682027915571723,0.43268650643334183,0.43268650643334183,0.03309891395008067,50,0.4622025999997277
7-scenes-redkitchen,41,1,point_to_point,0.1511392926908084,52.53072222904867,1.0209492375848572,1.3157765433633344,0.1581866200304423,0.15825404031673543,nan,50,0.4866749999928288
7-scenes-redkitchen,3,2,point_to_plane,0.33058809514480225,1.2298039934475595,0.022155854425014193,0.033344959927651206,0.09804037294642556,0.09804037294642556,0.017372374881348074,12,0.08829650000552647
7-scenes-redkitchen,3,2,point_to_point,0.33058809514480225,4.248344201652408,0.13310936400374257,0.17772926506451267,0.11649871996896467,0.11649589305850368,nan,41,0.2924545999849215
7-scenes-redkitchen,11,2,point_to_plane,0.23474160374252026,1.9790640558421584,0.028624651808335202,0.049817840958256816,0.4877307219007039,0.4877307219007039,0.022138866211729967,15,0.12626879999879748
7-scenes-redkitchen,11,2,point_to_point,0.23474160374252026,42.880018047542755,0.28642800415395003,1.2522905903255483,0.21156907909202574,0.21154145290180215,nan,50,0.3959825999918394
7-scenes-redkitchen,12,2,point_to_plane,0.21550100141934106,2.4930337113546974,0.04647442095509994,0.04660665231491206,0.16938605133012774,0.16938605133012774,0.01909914951228671,13,0.09267579999868758
7-scenes-redkitchen,12,2,point_to_point,0.21550100141934106,28.398677000062328,0.6291191117361472,0.6404197806777477,0.15182035032125712,0.15177597782539012,nan,50,0.38091439998243004
7-scenes-redkitchen,13,2,point_to_plane,0.1297836894736471,2.59295049866031,0.04388899732821624,0.051581216470022076,0.08639748141890688,0.08639748141890688,0.01892031941955483,9,0.05242710001766682
7-scenes-redkitchen,13,2,point_to_point,0.1297836894736471,16.098566850141744,0.3570656992862835,0.31832841997353883,0.0924528905257393,0.092434721198704,nan,50,0.27679050000733696
7-scenes-redkitchen,14,2,point_to_plane,0.1843007222002079,2.5668580122631703,0.023137492977012616,0.05612765186971545,0.17679914137010358,0.17679914137010358,0.021022241640662086,16,0.09205180002027191
7-scenes-redkitchen,14,2,point_to_point,0.1843007222002079,34.91072000142085,0.6533593687311063,0.7246105657295122,0.14847082629107006,0.1488166942217186,nan,50,0.3133670999959577
7-scenes-redkitchen,26,2,point_to_plane,0.3158886975701546,4.841286341572094,0.27266149417441915,0.10243227853008048,0.7127640565335828,0.7127640565335828,0.028795999584510755,16,0.1719411000085529
7-scenes-redkitchen,26,2,point_to_point,0.3158886975701546,44.882805712637875,1.691051805605381,1.5181452577490422,0.20505513381882515,0.2052275458597384,nan,50,0.5123720000265166
7-scenes-redkitchen,27,2,point_to_plane,0.24913877434582582,3.0487132703263957,0.1278010064435586,0.052876740085249056,0.20739443497731908,0.20739443497731908,0.03139309172149929,17,0.1740132000122685
7-scenes-redkitchen,27,2,point_to_point,0.24913877434582582,13.18821759899965,0.6456927748468955,0.35093117960669545,0.2079989910843848,0.20792750146532282,nan,26,0.2952453999896534
7-scenes-redkitchen,28,2,point_to_plane,0.34459179547988844,2.168135170583645,0.04007208018156466,0.02307577470394172,0.0994012598738825,0.0994012598738825,0.0250423457159189,21,0.16367989999707788
7-scenes-redkitchen,28,2,point_to_point,0.34459179547988844,8.493253637607985,0.3200149221198274,0.13551580015997883,0.10852822358047606,0.10849080070281214,nan,20,0.14885689999209717
7-scenes-redkitchen,29,2,point_to_plane,0.18501341203301713,2.134574078347611,0.03601941993237256,0.026247805696932778,0.054251599795182445,0.054251599795182445,0.020117806290610746,15,0.0913077000004705
7-scenes-redkitchen,29,2,point_to_point,0.18501341203301713,3.367724605330284,0.109654304553219,0.0372332603466786,0.05794561477791863,0.0579074770765954,nan,45,0.23286230000667274
7-scenes-redkitchen,30,2,point_to_plane,0.23527749191557423,1.9259113954237914,0.13676379764215726,0.13607507408206596,0.06764717916525337,0.06764717916525337,0.01721758052891244,50,0.26568500002031215
7-scenes-redkitchen,30,2,point_to_point,0.23527749191557423,10.176514306767183,0.3333482242573837,0.25774029672361876,0.07444975498521046,0.0744182105182107,nan,33,0.14542320001055487
7-scenes-redkitchen,31,2,point_to_plane,0.1600221452414336,1.9777864442492243,0.021150477094036998,0.022067439109662676,0.17935022602776898,0.17935022602776898,0.014544390401639214,10,0.053773899999214336
7-scenes-redkitchen,31,2,point_to_point,0.1600221452414336,14.42769101986151,0.6074932927010975,0.8017190269454905,0.10918042856800414,0.10955437257931029,nan,50,0.25305739999748766
7-scenes-redkitchen,40,2,point_to_plane,0.2217904473413166,2.7405083649666357,0.15235014812542388,0.04765090991280119,0.23118416187558224,0.23118416187558224,0.02594667747827537,11,0.09967840000172146
7-scenes-redkitchen,40,2,point_to_point,0.2217904473413166,23.338770295806455,0.6786108586691889,0.48936795359407237,0.19608439957022283,0.19609045298416292,nan,48,0.45237189999897964
7-scenes-redkitchen,41,2,point_to_plane,0.13308961067061376,1.3012194281924352,0.06474913727818003,0.03614320598259155,0.2665601321380551,0.2665601321380551,0.01958656795605157,13,0.11208210000768304
7-scenes-redkitchen,41,2,point_to_point,0.13308961067061376,30.46757812469519,0.410596262567221,0.9779646238220449,0.17087483639663117,0.17098929638734045,nan,50,0.49670369998784736
7-scenes-redkitchen,42,2,point_to_plane,0.3126603987419173,1.8642038425296983,0.0372803293317083,0.04811814224674774,0.2322276107725026,0.2322276107725026,0.020799211695198796,14,0.13275960000464693
7-scenes-redkitchen,42,2,point_to_point,0.3126603987419173,41.26764472398192,1.077831861548775,0.7952172449552898,0.15762551859374094,0.15797823295702373,nan,50,0.3879229000012856
7-scenes-redkitchen,4,3,point_to_plane,0.1943208524388648,0.932111824052947,0.008170032482943164,0.03718865887209039,0.2860865458466438,0.2860865458466438,0.015414425507007475,12,0.08602060002158396
7-scenes-redkitchen,4,3,point_to_point,0.1943208524388648,37.902321771327905,0.7112797788178014,0.9610227533087569,0.2047857296836479,0.20478375825225908,nan,46,0.4056345999997575
7-scenes-redkitchen,5,3,point_to_plane,0.28085487153489674,0.7778636034709114,0.07918033767041295,0.07065195410255727,0.47594869074733487,0.47594869074733487,0.02141642608073702,50,0.3319922999944538
7-scenes-redkitchen,5,3,point_to_point,0.28085487153489674,36.36212644463832,1.3585617404244554,1.2941803554097249,0.18032681189504937,0.180310888664426,nan,37,0.3040544000105001
